app_id,app_name,review_text,review_score,review_votes,tokens,sentiment,sentiment_category
10,Counter-Strike,Ruined my life.,1,0,"['ruined', 'life']",0.0,Neutral
10,Counter-Strike,"This will be more of a ''my experience with this game'' type of review, because saying things like ''great gameplay'' will not suit something I've experienced with Counter-Strike. Here you go:  I remember back in 2002 I was at a friend's house and he was playing a game. I didn't know the name of the game nor I had internet to find it. A few weeks passed by and another friend came over. He didn't have a computer, so he brought a disc with a game in it. He told me that it was one of the best games and from that very moment I knew that it is going to be the game I saw at the other friend's house. When I saw the Counter-Strike logo I was filled with gamegasm (?) and I was so happy. I was playing it hardcore. Made friends, clans, was involved in communities and even made two myself. Counter-Strike is my first game which I played competitively and it was a such an experience. Playing public servers with mods were very fun, but playing it competitively made it very intense and stressful. In a pleasant way, ofcourse. Looking at the current e-sport scene it might not seem like much but back then it was different.  Shooters these days try to be different, advanced in a way. Sometimes the most simple games like Counter-Strike are the ones that live to this day. Also, there are plenty of mods to keep your attention to this game. The gameplay is very simple - defend as a Counter-Terrorist, attack as a Terrorist to plant the bomb or save the hostages as a CT. I am sure most of you already know this and I doubt there are gamers that haven't heard or know the gameplay of Counter-Strike, so I am sharing here more of my experience.  I wish I could find my CS Anthology account which I've lost since 2008. So, I decided I am going to buy this game again and here you go - more than a thousand hours played. I still play it from time to time to this day and it brings back many great memories and I sometimes even stumble upon people I've played with years ago. I think Counter-Strike changed gaming in a major way and we wouldn't have many games like we have today, if this game wouldn't exist.   I am sure many of people already have played games like CS:GO but never the roots. I doubt any of you will play it for more than an hour, because it's much more simple and it differs a lot in my opinion from CS:GO and modern games. It's harder though.",1,1,"['experience', 'type', 'review', 'saying', 'things', 'gameplay', 'suit', 'something', 'experienced', 'go', 'remember', 'back', 'friend', 'house', 'playing', 'know', 'name', 'internet', 'find', 'weeks', 'passed', 'another', 'friend', 'came', 'computer', 'brought', 'disc', 'told', 'games', 'moment', 'knew', 'going', 'saw', 'friend', 'house', 'saw', 'logo', 'filled', 'gamegasm', 'happy', 'playing', 'hardcore', 'made', 'friends', 'clans', 'involved', 'communities', 'even', 'made', 'two', 'first', 'played', 'competitively', 'experience', 'playing', 'public', 'servers', 'mods', 'fun', 'playing', 'competitively', 'made', 'intense', 'stressful', 'pleasant', 'way', 'ofcourse', 'looking', 'current', 'scene', 'might', 'seem', 'much', 'back', 'different', 'shooters', 'days', 'try', 'different', 'advanced', 'way', 'sometimes', 'simple', 'games', 'ones', 'live', 'day', 'also', 'plenty', 'mods', 'keep', 'attention', 'gameplay', 'simple', 'defend', 'attack', 'terrorist', 'plant', 'bomb', 'save', 'hostages', 'ct', 'sure', 'already', 'know', 'doubt', 'gamers', 'heard', 'know', 'gameplay', 'sharing', 'experience', 'wish', 'could', 'find', 'cs', 'anthology', 'account', 'lost', 'since', 'decided', 'going', 'buy', 'go', 'thousand', 'hours', 'played', 'still', 'day', 'brings', 'back', 'many', 'memories', 'sometimes', 'even', 'stumble', 'upon', 'people', 'played', 'years', 'ago', 'think', 'changed', 'gaming', 'major', 'way', 'would', 'many', 'games', 'today', 'would', 'exist', 'sure', 'many', 'people', 'already', 'played', 'games', 'cs', 'go', 'never', 'roots', 'doubt', 'hour', 'much', 'simple', 'differs', 'lot', 'opinion', 'cs', 'go', 'modern', 'games', 'harder', 'though']",0.1799460955710956,Positive
10,Counter-Strike,This game saved my virginity.,1,0,"['saved', 'virginity']",-0.4,Negative
10,Counter-Strike,• Do you like original games? • Do you like games that don't lag? • Do you like games you can run on low end PC's? • Do you like games where you don't meet children who have slept with your mother?  Then this is for you!,1,0,"['original', 'games', 'games', 'lag', 'games', 'run', 'low', 'end', 'pc', 'games', 'meet', 'children', 'slept', 'mother']",0.1875,Positive
10,Counter-Strike,"        Easy to learn, hard to master.          ",1,1,"['easy', 'learn', 'hard', 'master']",0.07083333333333333,Positive
10,Counter-Strike,"No r8 revolver, 10/10 will play again.",1,1,['revolver'],0.0,Neutral
10,Counter-Strike,Still better than Call of Duty: Ghosts...,1,1,"['still', 'better', 'call', 'duty', 'ghosts']",0.5,Positive
10,Counter-Strike,"cant buy skins, cases, keys, stickers - gaben cant steal our money 10/10 would play again",1,1,"['cant', 'buy', 'skins', 'cases', 'keys', 'stickers', 'gaben', 'cant', 'steal', 'money', 'would']",0.0,Neutral
10,Counter-Strike,"Counter-Strike: Ok, after 9 years of unlimited fun with friends, I have finally quit counter strike. Counter strike, in all of its versions, its just a great FPS game that anyone can enjoy it. Its a great game and all, you just cant stop playing it, you can just sit and play with your friends for days with out stoping. The huge weaoponary option you can choose and the smooth and sound of the game, its just f*cking addicting. With this games I've met so many different people and unique friends. This game is literally G(OLD). To all the young players who are looking for a good cheep and fun game to play with their friends, I highlly recommend on this. I've got (with steam record) 2,484hrs record in counter strike IN TOTTAL,,, and who knows how many more hrs in a non official steam version of this game.... Great Game. GG WP. And too all the people who will keep playing this game, all I can say, as always, GL &amp; HF &lt;3",1,1,"['ok', 'years', 'unlimited', 'fun', 'friends', 'finally', 'quit', 'counter', 'strike', 'counter', 'strike', 'versions', 'fps', 'anyone', 'enjoy', 'cant', 'stop', 'playing', 'sit', 'friends', 'days', 'stoping', 'huge', 'weaoponary', 'option', 'choose', 'smooth', 'sound', 'f', 'cking', 'addicting', 'games', 'met', 'many', 'different', 'people', 'unique', 'friends', 'literally', 'g', 'old', 'young', 'players', 'looking', 'cheep', 'fun', 'friends', 'highlly', 'recommend', 'got', 'steam', 'record', 'record', 'counter', 'strike', 'tottal', 'knows', 'many', 'hrs', 'non', 'official', 'steam', 'version', 'gg', 'wp', 'people', 'keep', 'playing', 'say', 'always', 'gl', 'amp', 'hf', 'lt']",0.14722222222222223,Positive
10,Counter-Strike,Every server is spanish or french. I can now fluently swear in both languages 9/10,1,0,"['every', 'server', 'spanish', 'french', 'fluently', 'swear', 'languages']",0.0,Neutral
10,Counter-Strike,Fire in the Hole Simulator 1999,1,0,"['fire', 'hole', 'simulator']",0.0,Neutral
10,Counter-Strike,"I never played a better first person shooter. Graphics doesn't matter for gamer, gameplay only.",1,1,"['never', 'played', 'better', 'first', 'person', 'shooter', 'graphics', 'matter', 'gamer', 'gameplay']",0.25,Positive
10,Counter-Strike,"WARNING : DO NOT buy this game, if you do, you'll never see the sunlight again !",1,1,"['warning', 'buy', 'never', 'see', 'sunlight']",-0.5,Negative
